system,benchmark,task_id,repeat,passed,prompt_tokens,completion_tokens,token_source,total_tokens,latency_seconds,eval_error
harmonet,humaneval,HumanEval/0,1,True,222,165,measured,387,5.6166,
harmonet,humaneval,HumanEval/0,2,True,222,165,measured,387,2.8574,
harmonet,humaneval,HumanEval/0,3,True,222,165,measured,387,2.8566,
harmonet,humaneval,HumanEval/1,1,True,214,195,measured,409,3.1617,
harmonet,humaneval,HumanEval/1,2,True,214,195,measured,409,3.145,
harmonet,humaneval,HumanEval/1,3,True,214,195,measured,409,3.1861,
harmonet,humaneval,HumanEval/2,1,True,182,91,measured,273,2.1007,
harmonet,humaneval,HumanEval/2,2,True,182,91,measured,273,2.0066,
harmonet,humaneval,HumanEval/2,3,True,182,91,measured,273,1.9927,
harmonet,humaneval,HumanEval/3,1,True,216,54,measured,270,1.6513,
harmonet,humaneval,HumanEval/3,2,True,216,54,measured,270,1.6024,
harmonet,humaneval,HumanEval/3,3,True,216,54,measured,270,1.6202,
harmonet,humaneval,HumanEval/4,1,True,216,148,measured,364,2.6425,
harmonet,humaneval,HumanEval/4,2,True,216,148,measured,364,2.6737,
harmonet,humaneval,HumanEval/4,3,True,216,148,measured,364,2.6837,
harmonet,humaneval,HumanEval/5,1,True,189,125,measured,314,2.4775,
harmonet,humaneval,HumanEval/5,2,True,189,128,measured,317,2.361,
harmonet,humaneval,HumanEval/5,3,True,189,125,measured,314,2.3905,
harmonet,humaneval,HumanEval/6,1,True,212,190,measured,402,3.1899,
harmonet,humaneval,HumanEval/6,2,True,212,190,measured,402,3.0892,
harmonet,humaneval,HumanEval/6,3,True,212,190,measured,402,3.1509,
harmonet,humaneval,HumanEval/7,1,True,192,105,measured,297,2.1906,
harmonet,humaneval,HumanEval/7,2,True,192,105,measured,297,2.1209,
harmonet,humaneval,HumanEval/7,3,True,192,105,measured,297,2.1367,
harmonet,humaneval,HumanEval/8,1,False,209,131,measured,340,2.4688,"    check(sum_product)
  File ""C:\Users\User\AppData\Local\Temp\harmonet_ext_g1_0nf5lvb7\candidate_test.py"", line 38, in check
    assert candidate([]) == (0, 1)
  File ""C:\Users\User\AppData\Local\Temp\harmonet_ext_g1_0nf5lvb7\candidate_test.py"", line 24, in sum_product
    return sum(numbers), reduce(lambda x, y: x * y, numbers, 1)
NameError: name 'reduce' is not defined"
harmonet,humaneval,HumanEval/8,2,False,209,135,measured,344,2.5112,"    check(sum_product)
  File ""C:\Users\User\AppData\Local\Temp\harmonet_ext_g1_cz7h4y5u\candidate_test.py"", line 39, in check
    assert candidate([1, 1, 1]) == (3, 1)
  File ""C:\Users\User\AppData\Local\Temp\harmonet_ext_g1_cz7h4y5u\candidate_test.py"", line 24, in sum_product
    return (sum(numbers), 1 if not numbers else reduce(lambda x, y: x * y, numbers))
NameError: name 'reduce' is not defined"
