system,benchmark,task_id,repeat,passed,prompt_tokens,completion_tokens,token_source,total_tokens,latency_seconds,eval_error
harmonet,humaneval,HumanEval/0,1,True,222,165,measured,387,5.4684,
harmonet,humaneval,HumanEval/1,1,True,214,195,measured,409,3.226,
harmonet,humaneval,HumanEval/2,1,True,182,91,measured,273,1.9998,
harmonet,humaneval,HumanEval/3,1,True,216,54,measured,270,1.6551,
harmonet,humaneval,HumanEval/4,1,True,216,148,measured,364,2.637,
harmonet,mbpp,mbpp_2,1,True,241,25,measured,266,1.3265,
harmonet,mbpp,mbpp_3,1,True,155,58,measured,213,1.6245,
harmonet,mbpp,mbpp_4,1,True,307,27,measured,334,1.3783,
harmonet,mbpp,mbpp_6,1,True,185,31,measured,216,1.4289,
harmonet,mbpp,mbpp_7,1,True,209,29,measured,238,1.4173,
harmonet_v2,humaneval,HumanEval/0,1,True,183,165,measured,348,4.1856,
harmonet_v2,humaneval,HumanEval/1,1,True,176,195,measured,371,2.2836,
harmonet_v2,humaneval,HumanEval/2,1,True,143,91,measured,234,1.1218,
harmonet_v2,humaneval,HumanEval/3,1,True,177,149,measured,326,1.7725,
harmonet_v2,humaneval,HumanEval/4,1,True,177,148,measured,325,1.7556,
harmonet_v2,mbpp,mbpp_2,1,True,459,70,measured,529,0.9591,
harmonet_v2,mbpp,mbpp_3,1,True,116,58,measured,174,0.7583,
harmonet_v2,mbpp,mbpp_4,1,True,269,54,measured,323,0.7393,
harmonet_v2,mbpp,mbpp_6,1,True,147,74,measured,221,0.9407,
harmonet_v2,mbpp,mbpp_7,1,True,422,122,measured,544,1.5186,
langraph_compat_qwen2.5_coder_7b,humaneval,HumanEval/0,1,True,874,975,measured,1849,13.1949,
langraph_compat_qwen2.5_coder_7b,humaneval,HumanEval/1,1,True,911,866,measured,1777,9.8054,
langraph_compat_qwen2.5_coder_7b,humaneval,HumanEval/2,1,True,613,719,measured,1332,8.1478,
langraph_compat_qwen2.5_coder_7b,humaneval,HumanEval/3,1,True,736,426,measured,1162,4.9409,
langraph_compat_qwen2.5_coder_7b,humaneval,HumanEval/4,1,True,847,1042,measured,1889,11.7658,
langraph_compat_qwen2.5_coder_7b,mbpp,mbpp_2,1,True,745,782,measured,1527,8.8907,
langraph_compat_qwen2.5_coder_7b,mbpp,mbpp_3,1,True,508,586,measured,1094,6.6554,
langraph_compat_qwen2.5_coder_7b,mbpp,mbpp_4,1,True,983,248,measured,1231,3.0281,
langraph_compat_qwen2.5_coder_7b,mbpp,mbpp_6,1,True,628,457,measured,1085,5.267,
langraph_compat_qwen2.5_coder_7b,mbpp,mbpp_7,1,True,687,457,measured,1144,5.2691,
autogen_qwen2.5_coder_7b,humaneval,HumanEval/0,1,True,873,495,measured,1368,6.6872,
autogen_qwen2.5_coder_7b,humaneval,HumanEval/1,1,True,920,605,measured,1525,7.7402,
autogen_qwen2.5_coder_7b,humaneval,HumanEval/2,1,True,608,273,measured,881,4.0327,
autogen_qwen2.5_coder_7b,humaneval,HumanEval/3,1,True,636,162,measured,798,2.7982,
autogen_qwen2.5_coder_7b,humaneval,HumanEval/4,1,True,842,480,measured,1322,6.3134,
autogen_qwen2.5_coder_7b,mbpp,mbpp_2,1,True,665,87,measured,752,1.9841,
autogen_qwen2.5_coder_7b,mbpp,mbpp_3,1,True,458,174,measured,632,2.9096,
autogen_qwen2.5_coder_7b,mbpp,mbpp_4,1,True,912,174,measured,1086,2.979,
autogen_qwen2.5_coder_7b,mbpp,mbpp_6,1,True,543,180,measured,723,2.9797,
autogen_qwen2.5_coder_7b,mbpp,mbpp_7,1,True,569,87,measured,656,1.9735,
crewai_qwen2.5_coder_7b,humaneval,HumanEval/0,1,True,937,387,measured,1324,9.8112,
crewai_qwen2.5_coder_7b,humaneval,HumanEval/1,1,True,903,328,measured,1231,6.1302,
crewai_qwen2.5_coder_7b,humaneval,HumanEval/2,1,True,778,273,measured,1051,5.5195,
crewai_qwen2.5_coder_7b,humaneval,HumanEval/3,1,True,896,347,measured,1243,6.3843,
crewai_qwen2.5_coder_7b,humaneval,HumanEval/4,1,True,802,165,measured,967,4.3157,
crewai_qwen2.5_coder_7b,mbpp,mbpp_2,1,True,826,75,measured,901,3.3572,
crewai_qwen2.5_coder_7b,mbpp,mbpp_3,1,True,720,312,measured,1032,5.9766,
crewai_qwen2.5_coder_7b,mbpp,mbpp_4,1,True,1019,81,measured,1100,3.5041,
crewai_qwen2.5_coder_7b,mbpp,mbpp_6,1,True,653,90,measured,743,3.4893,
crewai_qwen2.5_coder_7b,mbpp,mbpp_7,1,True,738,87,measured,825,3.4972,
