instance_id,system,passed_generation,patch_applies,initial_patch_applies,valid_after_repair,dropped_invalid,repair_attempts,malformed_repairs,hunk_repairs,other_repairs,failure_kind,repair_modes,prompt_tokens,completion_tokens,total_tokens,latency_seconds,patch_chars,changed_files,error,apply_error
astropy__astropy-12907,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3519,500,4019,7.7672,432,astropy/modeling/separable.py,,
astropy__astropy-14182,single_novalidate,True,True,True,False,False,0,0,0,0,none,,1332,416,1748,6.2707,525,astropy/io/ascii/rst.py,,
astropy__astropy-14365,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4840,224,5064,5.1019,428,astropy/io/ascii/qdp.py,,
astropy__astropy-14995,single_novalidate,True,True,True,False,False,0,0,0,0,none,,5779,286,6065,5.6385,556,astropy/nddata/mixins/ndarithmetic.py,,
astropy__astropy-6938,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3707,290,3997,5.9541,497,astropy/io/fits/fitsrec.py,,
astropy__astropy-7746,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4360,1024,5384,11.9734,2650,astropy/wcs/wcs.py,,
django__django-10914,single_novalidate,True,True,True,False,False,0,0,0,0,none,,5530,221,5751,5.3864,626,django/conf/global_settings.py,,
django__django-10924,single_novalidate,True,True,True,False,False,0,0,0,0,none,,5170,370,5540,6.4842,1156,django/db/models/fields/__init__.py,,
django__django-11001,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4339,258,4597,5.6036,829,django/db/models/sql/compiler.py,,
django__django-11019,single_novalidate,True,True,True,False,False,0,0,0,0,none,,7489,260,7749,5.8838,724,django/forms/widgets.py,,
django__django-11039,single_novalidate,True,True,True,False,False,0,0,0,0,none,,1317,223,1540,5.905,737,django/core/management/commands/sqlmigrate.py,,
django__django-11049,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3657,197,3854,5.6558,511,django/db/models/fields/__init__.py,,
django__django-11099,single_novalidate,True,True,True,False,False,0,0,0,0,none,,601,325,926,6.1011,895,django/contrib/auth/validators.py,,
django__django-11133,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3773,180,3953,5.0282,576,django/http/response.py,,
django__django-11179,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3702,237,3939,5.3129,751,django/db/models/deletion.py,,
django__django-11283,single_novalidate,True,True,True,False,False,0,0,0,0,none,,2374,533,2907,7.6166,1880,django/contrib/auth/migrations/0011_update_proxy_permissions.py,,
django__django-11422,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4126,484,4610,8.5895,1351,django/utils/autoreload.py,,
django__django-11564,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3873,1024,4897,12.2577,3788,django/conf/__init__.py,,
django__django-11583,single_novalidate,True,True,True,False,False,0,0,0,0,none,,5744,373,6117,8.3466,903,django/utils/autoreload.py,,
django__django-11620,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3839,922,4761,12.2642,1585,django/views/debug.py,,
django__django-11630,single_novalidate,True,True,True,False,False,0,0,0,0,none,,2770,887,3657,9.0618,1414,django/core/checks/model_checks.py,,
django__django-11742,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3545,659,4204,9.7019,2309,django/db/models/fields/__init__.py,,
django__django-11797,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4902,468,5370,8.5665,1203,django/db/models/lookups.py,,
django__django-11815,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4620,272,4892,7.8517,792,django/db/migrations/serializer.py,,
django__django-11848,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4731,306,5037,7.0544,937,django/utils/http.py,,
django__django-11905,single_novalidate,True,True,True,False,False,0,0,0,0,none,,5253,217,5470,6.7662,608,django/db/models/lookups.py,,
django__django-11910,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3744,1024,4768,13.5907,3608,django/db/migrations/autodetector.py,,
django__django-11964,single_novalidate,True,True,True,False,False,0,0,0,0,none,,1720,826,2546,8.3421,774,django/db/models/enums.py,,
django__django-11999,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4985,299,5284,6.9759,841,django/db/models/fields/__init__.py,,
django__django-12113,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3210,374,3584,7.3193,920,django/db/backends/sqlite3/creation.py,,
