instance_id,system,passed_generation,patch_applies,initial_patch_applies,valid_after_repair,dropped_invalid,repair_attempts,malformed_repairs,hunk_repairs,other_repairs,failure_kind,repair_modes,prompt_tokens,completion_tokens,total_tokens,latency_seconds,patch_chars,changed_files,error,apply_error
astropy__astropy-12907,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3515,624,4139,10.7299,443,astropy/modeling/separable.py,,
astropy__astropy-14182,single_novalidate,True,True,True,False,False,0,0,0,0,none,,1328,197,1525,4.6883,487,astropy/io/ascii/rst.py,,
astropy__astropy-14365,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4411,686,5097,9.0689,889,astropy/io/ascii/qdp.py,,
astropy__astropy-14995,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4186,870,5056,10.694,893,astropy/nddata/mixins/ndarithmetic.py,,
astropy__astropy-6938,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3597,722,4319,9.5037,566,astropy/io/fits/fitsrec.py,,
astropy__astropy-7746,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4356,1058,5414,13.0023,2637,astropy/wcs/wcs.py,,
django__django-10914,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4320,219,4539,5.7421,619,django/conf/global_settings.py,,
django__django-10924,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3672,1046,4718,9.55,1732,django/db/models/fields/__init__.py,,
django__django-11001,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3924,256,4180,6.2456,800,django/db/models/sql/compiler.py,,
django__django-11019,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4022,2684,6706,26.1657,2993,django/forms/widgets.py,,
django__django-11039,single_novalidate,True,True,True,False,False,0,0,0,0,none,,1144,655,1799,9.5122,2098,django/core/management/commands/sqlmigrate.py,,
django__django-11049,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3653,202,3855,5.3161,518,django/db/models/fields/__init__.py,,
django__django-11099,single_novalidate,True,True,True,False,False,0,0,0,0,none,,597,325,922,5.7927,895,django/contrib/auth/validators.py,,
django__django-11133,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3609,180,3789,4.9758,576,django/http/response.py,,
django__django-11179,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3419,201,3620,5.2698,626,django/db/models/deletion.py,,
django__django-11283,single_novalidate,True,True,True,False,False,0,0,0,0,none,,1042,1139,2181,11.7138,2288,django/contrib/auth/migrations/0011_update_proxy_permissions.py,,
django__django-11422,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3669,463,4132,8.5495,806,django/utils/autoreload.py,,
django__django-11564,single_novalidate,True,True,True,False,False,0,0,0,0,none,,2887,979,3866,14.5391,422,django/conf/__init__.py,,
django__django-11583,single_novalidate,True,True,True,False,False,0,0,0,0,none,,5126,583,5709,9.5305,1178,django/utils/autoreload.py,,
django__django-11620,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3522,863,4385,11.6191,894,django/views/debug.py,,
django__django-11630,single_novalidate,True,True,True,False,False,0,0,0,0,none,,2539,836,3375,12.0638,1798,django/core/checks/model_checks.py,,
django__django-11742,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3541,761,4302,9.9997,2845,django/db/models/fields/__init__.py,,
django__django-11797,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4041,1265,5306,15.229,2835,django/db/models/lookups.py,,
django__django-11815,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3857,279,4136,6.0832,809,django/db/migrations/serializer.py,,
django__django-11848,single_novalidate,True,True,True,False,False,0,0,0,0,none,,4166,793,4959,10.4544,1117,django/utils/http.py,,
django__django-11905,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3883,4096,7979,31.1622,12004,django/db/models/lookups.py,,
django__django-11910,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3678,2554,6232,24.8295,6259,django/db/migrations/autodetector.py,,
django__django-11964,single_novalidate,True,True,True,False,False,0,0,0,0,none,,1535,462,1997,6.975,634,django/db/models/enums.py,,
django__django-11999,single_novalidate,True,True,True,False,False,0,0,0,0,none,,3629,1097,4726,10.948,1020,django/db/models/fields/__init__.py,,
django__django-12113,single_novalidate,True,True,True,False,False,0,0,0,0,none,,2926,592,3518,9.7663,750,django/db/backends/sqlite3/creation.py,,
