1920 jobs 3123s
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 0.0, 'gain_mean': -0.0198, 'bias': -0.0198, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.010388800000000002, 'cost_fixed': 0.011668000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 100, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.012960297856072178, 'gain_mean': -0.013900000000000001, 'bias': -0.02686029785607218, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.010526600000000002, 'cost_fixed': 0.011668000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 100, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.0632526204682739, 'gain_mean': -0.004100000000000001, 'bias': -0.06735262046827392, 'pass': 1, 'p_lt_05': 3, 'cost_policy': 0.010695600000000001, 'cost_fixed': 0.011668000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 150, 's': 0.0, 'seeds': 20, 'true_gain_mean': 5.551115123125783e-18, 'gain_mean': -0.011933333333333334, 'bias': -0.011933333333333341, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010084666666666669, 'cost_fixed': 0.011360000000000006}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 150, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.016490047327285696, 'gain_mean': -0.012266666666666665, 'bias': -0.028756713993952354, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010137733333333338, 'cost_fixed': 0.011360000000000006}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 150, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.06289624161561028, 'gain_mean': -0.010599999999999997, 'bias': -0.07349624161561027, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010242533333333335, 'cost_fixed': 0.011360000000000006}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 200, 's': 0.0, 'seeds': 20, 'true_gain_mean': -7.771561172376095e-17, 'gain_mean': -0.00975, 'bias': -0.009749999999999922, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.010666900000000002, 'cost_fixed': 0.011268000000000004}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 200, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.014397615740311153, 'gain_mean': -0.012700000000000003, 'bias': -0.027097615740311155, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.0105336, 'cost_fixed': 0.011268000000000004}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 200, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.06475625785810112, 'gain_mean': -0.0091, 'bias': -0.0738562578581011, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.010257600000000002, 'cost_fixed': 0.011268000000000004}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 300, 's': 0.0, 'seeds': 20, 'true_gain_mean': 9.992007221626409e-17, 'gain_mean': -0.004933333333333333, 'bias': -0.004933333333333434, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.011827200000000003, 'cost_fixed': 0.011940000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 300, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.010528050475742717, 'gain_mean': -0.006533333333333334, 'bias': -0.01706138380907605, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.011511600000000002, 'cost_fixed': 0.011940000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 0.7, 'N': 300, 's': 1.0, 'seeds': 20, 'true_gain_mean': 0.05763888307682889, 'gain_mean': -0.0027333333333333337, 'bias': -0.06037221641016223, 'pass': 0, 'p_lt_05': 2, 'cost_policy': 0.011217000000000003, 'cost_fixed': 0.011940000000000003}
{'learner': 'P1', 'delta': 1.5, 'rho': 1.0, 'N': 100, 's': 0.0, 'seeds': 20, 'true_gain_mean': 0.0, 'gain_mean': -0.016800000000000002, 'bias': -0.016800000000000002, 'pass': 0, 'p_lt_05': 0, 'cost_policy': 0.0104624, 'cost_fixed': 0.011436000000000002}
{'learner': 'P1', 'delta': 1.5, 'rho': 1.0, 'N': 100, 's': 0.5, 'seeds': 20, 'true_gain_mean': 0.012960297856072178, 'gain_mean': -0.015900000000000004, 'bias': -0.028860297856072182, 'pass': 0, 'p_lt_05': 1, 'cost_policy': 0.010602200000000003, 'cost_fixed': 0.011436000000000002}
